,cylinders,displ,make,year,fuelType
0,4.0,2.0,Alfa Romeo,1985,Regular
1,12.0,4.9,Ferrari,1985,Regular
2,4.0,2.2,Dodge,1985,Regular
3,8.0,5.2,Dodge,1985,Regular
4,4.0,2.2,Subaru,1993,Premium
5,4.0,1.8,Subaru,1993,Regular
7,4.0,1.6,Toyota,1993,Regular
9,4.0,1.8,Toyota,1993,Regular
11,4.0,2.0,Volkswagen,1993,Regular
16,4.0,2.3,Volvo,1993,Regular
18,6.0,2.8,Audi,1993,Premium
20,8.0,4.0,BMW,1993,Premium
22,12.0,5.0,BMW,1993,Regular
23,4.0,2.2,Buick,1993,Regular
24,6.0,3.3,Buick,1993,Regular
27,6.0,3.1,Buick,1993,Regular
29,6.0,3.8,Buick,1993,Regular
31,8.0,4.6,Cadillac,1993,Premium
32,8.0,4.9,Cadillac,1993,Premium
35,4.0,2.2,Chevrolet,1993,Regular
37,6.0,3.1,Chevrolet,1993,Regular
39,6.0,3.4,Chevrolet,1993,Regular
41,6.0,3.3,Chrysler,1993,Regular
42,6.0,3.0,CX Automotive,1993,Premium
44,6.0,3.0,Nissan,1993,Premium
47,8.0,5.9,Dodge,1985,Regular
48,4.0,2.5,Dodge,1993,Regular
49,6.0,3.0,Dodge,1993,Regular
50,6.0,3.3,Dodge,1993,Regular
56,6.0,3.0,Ford,1993,Regular
57,6.0,3.0,Ford,1993,Premium
59,6.0,3.8,Ford,1993,Regular
61,6.0,3.8,Ford,1993,Premium
63,8.0,5.0,Ford,1993,Regular
64,4.0,2.0,Hyundai,1993,Regular
66,6.0,3.0,Hyundai,1993,Regular
67,8.0,4.5,Infiniti,1993,Premium
70,8.0,4.0,Lexus,1993,Premium
71,6.0,3.8,Mercury,1993,Regular
72,8.0,5.0,Mercury,1993,Regular
73,6.0,3.0,Mercury,1993,Regular
75,4.0,2.0,Mazda,1993,Regular
77,6.0,2.5,Mazda,1993,Premium
79,6.0,3.0,Mazda,1993,Premium
81,4.0,2.2,Oldsmobile,1993,Regular
82,6.0,3.3,Oldsmobile,1993,Regular
84,6.0,3.1,Oldsmobile,1993,Regular
86,6.0,3.4,Oldsmobile,1993,Regular
88,6.0,3.8,Oldsmobile,1993,Regular
89,4.0,2.5,Plymouth,1993,Regular
91,6.0,4.9,Ford,1985,Regular
93,6.0,3.0,Plymouth,1993,Regular
95,6.0,3.1,Pontiac,1993,Regular
97,6.0,3.4,Pontiac,1993,Regular
99,8.0,6.8,Rolls-Royce,1993,Premium
103,4.0,2.2,Toyota,1993,Regular
105,6.0,3.0,Toyota,1993,Regular
109,6.0,2.8,Volkswagen,1993,Regular
111,5.0,2.4,Volvo,1993,Regular
113,4.0,2.2,Dodge,1985,Premium
117,6.0,2.9,Volvo,1993,Regular
119,6.0,3.8,Buick,1993,Premium
121,8.0,5.7,Buick,1993,Regular
123,8.0,5.7,Cadillac,1993,Regular
124,6.0,4.3,Chevrolet,1993,Regular
125,8.0,5.0,Ford,1985,Regular
126,8.0,5.0,Chevrolet,1993,Regular
127,8.0,5.7,Chevrolet,1993,Regular
129,6.0,3.5,Chrysler,1993,Regular
131,6.0,3.8,Chrysler,1993,Regular
133,6.0,3.5,Dodge,1993,Regular
134,6.0,3.3,Eagle,1993,Regular
135,6.0,3.5,Eagle,1993,Regular
136,8.0,5.8,Ford,1985,Regular
137,8.0,4.6,Ford,1993,Regular
138,6.0,3.8,Lincoln,1993,Regular
139,8.0,4.6,Mercury,1993,Regular
140,8.0,4.6,Lincoln,1993,Regular
141,6.0,3.5,Mercedes-Benz,1993,Diesel
142,6.0,3.2,Mercedes-Benz,1993,Premium
143,8.0,4.2,Mercedes-Benz,1993,Premium
